2026-01-30 08:39:15 | ERROR    | <module>:66 | Test error from analytics
2026-01-30 08:39:23 | ERROR    | <module>:66 | Test error from analytics
2026-01-30 08:55:05 | ERROR    | <module>:66 | Test error from analytics
2026-01-31 01:05:53 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 03:21:53 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 03:22:24 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 03:32:43 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 03:33:22 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 03:35:41 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 03:37:08 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 03:40:56 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 03:44:59 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 09:03:21 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 09:05:53 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 09:06:44 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 09:10:29 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 09:11:35 | ERROR    | <module>:66 | Test error from analytics
2026-02-12 09:15:02 | ERROR    | <module>:66 | Test error from analytics
