2026-01-30 23:23:24 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:23:24 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:23:24 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:23:24 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:23:24 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:23:24 | INFO     | run:231 | Directory loading complete
2026-01-30 23:28:48 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:28:48 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:28:48 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:28:48 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:28:48 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:28:48 | INFO     | run:231 | Directory loading complete
2026-01-30 23:32:37 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:32:37 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:32:37 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:32:37 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:32:37 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:32:37 | INFO     | run:231 | Directory loading complete
2026-01-30 23:36:21 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-30 23:36:21 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-30 23:36:21 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-30 23:36:21 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-30 23:36:21 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-30 23:36:21 | INFO     | run:231 | Directory loading complete
